audio_id,transcript,filler_type
audio_1,I improved the algorithm to optimize runtime performance. ... (long pause),pause
audio_2,I uh improved the algorithm to optimize runtime performance. ... (long pause),filler+pause
audio_3,The best way to grow is by constantly practicing uh and uh learning.,filler
audio_4,The best way to grow is by constantly practicing uh and uh learning.,filler
audio_5,I learned C++ during my like first year and hmm applied it in projects.,filler
audio_6,you know My internship uh taught me valuable lessons about time management.,filler
audio_7,I improved the algorithm to optimize runtime performance.,none
audio_8,The main challenge was debugging the memory leak in the um code.,filler
audio_9,Working on group projects has helped me develop leadership skills. ... (long pause),pause
audio_10,Working on group projects has helped me develop leadership skills.,none
audio_11,Machine learning is exciting because of its real-world applications.,none
audio_12,uh I learned C++ during my first year and uh applied it in projects. ... (long pause),filler+pause
audio_13,I think the project was successful because we followed um agile uh practices.,filler
audio_14,I learned C++ during my first year and applied it in projects. ... (long pause),pause
audio_15,I learned C++ during my first hmm year and applied it um in projects.,filler
audio_16,Machine learning is exciting because of its real-world um applications.,filler
audio_17,I learned C++ during my first year and hmm applied it in projects.,filler
audio_18,Machine learning is exciting because of its real-world applications.,none
audio_19,I learned C++ during my first year you know and applied it in you know projects.,filler
audio_20,The best way to grow is by constantly practicing and learning.,none
audio_21,The best way to grow is hmm by constantly practicing you know and learning.,filler
audio_22,I think the project was successful because uh we like followed agile practices.,filler
audio_23,Working on group projects has helped me develop leadership skills.,none
audio_24,The best way to grow is by constantly practicing and learning.,none
audio_25,I improved the hmm algorithm to optimize runtime performance.,filler
audio_26,Machine learning is exciting because of um its like real-world applications.,filler
audio_27,Machine learning is exciting because of its real-world applications. ... (long pause),pause
audio_28,I believe Python is a very versatile programming language.,none
audio_29,I enjoy working in teams and learning new technologies.,none
audio_30,I improved the you know algorithm to like optimize runtime performance.,filler
audio_31,I enjoy working in teams and learning new technologies.,none
audio_32,The best way to grow is by constantly practicing and learning.,none
audio_33,Machine like learning is um exciting because of its real-world applications.,filler
audio_34,I improved the algorithm to optimize runtime performance.,none
audio_35,The you know main challenge was debugging the hmm memory leak in the code.,filler
audio_36,The best you know way to grow is by um constantly practicing and learning. ... (long pause),filler+pause
audio_37,The main challenge was debugging the memory leak in uh the code.,filler
audio_38,I enjoy like working um in teams and learning new technologies. ... (long pause),filler+pause
audio_39,I think the project was successful because we followed agile practices. ... (long pause),pause
audio_40,I enjoy working in teams and learning uh new technologies.,filler
audio_41,I learned C++ during hmm my first year and applied it in projects. ... (long pause),filler+pause
audio_42,I enjoy working in teams and learning new technologies.,none
audio_43,The main challenge was debugging the memory leak in the code.,none
audio_44,The main challenge was debugging the memory leak in the code.,none
audio_45,The you know best way to um grow is by constantly practicing and learning.,filler
audio_46,um I improved hmm the algorithm to optimize runtime performance.,filler
audio_47,My internship taught me valuable lessons about time management.,none
audio_48,I think the project was successful because we followed agile practices.,none
audio_49,I think the project you know was successful because we followed agile practices.,filler
audio_50,The main challenge was debugging the memory leak uh in um the code. ... (long pause),filler+pause
audio_51,you know Working on group projects hmm has helped me develop leadership skills.,filler
audio_52,I you know enjoy working in teams and learning new technologies.,filler
audio_53,The main challenge was debugging the memory leak in the code.,none
audio_54,The main challenge was debugging the memory leak in the you know code.,filler
audio_55,I think the project was successful because we followed agile practices.,none
audio_56,I improved the algorithm to uh optimize runtime performance.,filler
audio_57,like Machine learning is exciting because um of its real-world applications. ... (long pause),filler+pause
audio_58,I learned C++ during my you know first year and applied it in projects.,filler
audio_59,The main challenge was uh debugging the memory leak in the code.,filler
audio_60,like Machine learning is exciting because of its real-world applications. ... (long pause),filler+pause
audio_61,I learned C++ during my first hmm year and applied it in projects.,filler
audio_62,Working on group projects um has helped me develop hmm leadership skills. ... (long pause),filler+pause
audio_63,The main challenge was debugging the memory leak in the code.,none
audio_64,Working on group projects like has helped me develop leadership skills. ... (long pause),filler+pause
audio_65,you know Working on group projects has helped like me develop leadership skills. ... (long pause),filler+pause
audio_66,Working on you know group hmm projects has helped me develop leadership skills.,filler
audio_67,My internship taught me valuable uh lessons about time management. ... (long pause),filler+pause
audio_68,Machine learning is exciting uh because of its real-world applications.,filler
audio_69,Working on group projects has helped me develop leadership skills.,none
audio_70,Machine learning is exciting because of its real-world applications. ... (long pause),pause
audio_71,Working on group projects has uh helped me develop leadership skills.,filler
audio_72,I improved the algorithm to optimize runtime performance.,none
audio_73,The best way to grow is by constantly practicing and learning.,none
audio_74,Working uh on group projects has hmm helped me develop leadership skills.,filler
audio_75,The best you know way to grow is by constantly practicing and um learning.,filler
audio_76,I learned C++ during my first year and applied it in projects.,none
audio_77,I learned C++ during my first year and applied it in projects.,none
audio_78,The best way to grow is by constantly practicing and learning. ... (long pause),pause
audio_79,The best way to grow is by constantly practicing and learning.,none
audio_80,I believe Python is a very versatile programming language. ... (long pause),pause
audio_81,The main challenge was debugging the memory leak in the code. ... (long pause),pause
audio_82,My internship taught me hmm valuable lessons about time management.,filler
audio_83,Machine learning is exciting because of its real-world applications.,none
audio_84,I learned C++ during my first year and applied it in projects.,none
audio_85,I learned C++ during my first hmm year and applied hmm it in projects.,filler
audio_86,I enjoy working uh in teams and you know learning new technologies.,filler
audio_87,Working on group projects has helped me develop leadership you know skills.,filler
audio_88,hmm My internship taught me like valuable lessons about time management.,filler
audio_89,I believe Python is a you know very versatile programming language.,filler
audio_90,I think hmm the project was successful because we followed agile practices.,filler
audio_91,I think the project was successful because we followed agile you know practices.,filler
audio_92,you know The main challenge was debugging the memory leak in the code.,filler
audio_93,I believe Python is a very versatile programming language.,none
audio_94,The main challenge was debugging the memory like leak in the code.,filler
audio_95,hmm I enjoy working in hmm teams and learning new technologies. ... (long pause),filler+pause
audio_96,I think the project was you know successful like because we followed agile practices.,filler
audio_97,I improved um the algorithm to optimize runtime um performance.,filler
audio_98,The best way to grow is by constantly practicing and learning.,none
audio_99,like I think the project was successful because we followed agile practices. ... (long pause),filler+pause
audio_100,I believe Python is a very versatile programming language.,none
audio_101,I think the project was successful because we followed uh agile practices.,filler
audio_102,The best way to grow is by constantly practicing and learning. ... (long pause),pause
audio_103,Machine hmm learning is exciting because of its real-world applications.,filler
audio_104,The main challenge was debugging the memory leak in the code.,none
audio_105,I learned C++ during my first year and applied it in projects.,none
audio_106,Machine learning like is exciting because of its real-world applications.,filler
audio_107,The main uh challenge you know was debugging the memory leak in the code. ... (long pause),filler+pause
audio_108,I like think hmm the project was successful because we followed agile practices.,filler
audio_109,Machine learning is exciting because of its real-world um applications. ... (long pause),filler+pause
audio_110,I learned C++ during my first year uh and applied it in projects.,filler
audio_111,like Working on group projects has helped me develop leadership skills. ... (long pause),filler+pause
audio_112,Machine learning is exciting hmm because of its real-world applications. ... (long pause),filler+pause
audio_113,My uh internship taught me um valuable lessons about time management.,filler
audio_114,I learned uh C++ during my first year and applied it in projects. ... (long pause),filler+pause
audio_115,The main challenge was debugging the memory leak in the code. ... (long pause),pause
audio_116,Working hmm on group projects has um helped me develop leadership skills.,filler
audio_117,My hmm internship taught me valuable lessons about time management.,filler
audio_118,The best way to grow is by constantly um practicing and learning.,filler
audio_119,My internship taught me like valuable lessons uh about time management.,filler
audio_120,I think the project was successful because um we followed agile practices.,filler
audio_121,I you know improved the algorithm um to optimize runtime performance.,filler
audio_122,uh Machine learning is uh exciting because of its real-world applications.,filler
audio_123,My internship taught me valuable lessons about time management.,none
audio_124,The best way to you know grow is by constantly practicing and learning.,filler
audio_125,Machine learning is exciting you know because of its real-world applications.,filler
audio_126,uh The main challenge was debugging the memory hmm leak in the code.,filler
audio_127,The main challenge was uh debugging the like memory leak in the code.,filler
audio_128,The best way to grow is by constantly practicing and learning. ... (long pause),pause
audio_129,I improved the algorithm to optimize runtime performance.,none
audio_130,The best way to grow is by constantly practicing and you know learning.,filler
audio_131,I think the project was successful because we followed agile practices.,none
audio_132,The best way to grow is by constantly practicing and learning. ... (long pause),pause
audio_133,I think you know the project was successful um because we followed agile practices.,filler
audio_134,The main uh challenge was debugging the memory leak in the code.,filler
audio_135,Machine you know learning is exciting because of its real-world applications. ... (long pause),filler+pause
audio_136,The main challenge was debugging the like memory leak in the uh code.,filler
audio_137,I think the project was successful because we followed agile practices.,none
audio_138,The main challenge was debugging the memory uh leak in the code.,filler
audio_139,My internship taught like me valuable lessons about time you know management.,filler
audio_140,Machine learning is exciting because of its real-world hmm applications.,filler
audio_141,I learned C++ during my first year and applied it in projects.,none
audio_142,My internship taught me valuable lessons about time management.,none
audio_143,The best way to like grow is by constantly practicing and hmm learning.,filler
audio_144,My internship taught me valuable lessons about time management.,none
audio_145,I think the project was successful because we followed agile practices.,none
audio_146,I like improved the algorithm to uh optimize runtime performance.,filler
audio_147,Machine learning is hmm exciting because of its real-world applications.,filler
audio_148,Working on like group projects has helped me develop leadership skills.,filler
audio_149,The best way to grow is by constantly practicing like and learning.,filler
audio_150,I learned C++ during my first year and applied it in projects.,none
